OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-11512 [DTC],2025-004G,2025-01-25T22:46:26.830560,15.84463270,.0001741,43.0059,10.0728,224.3618,135.7115,0,U,62517,999,306,.56513E-3,.135157E-2,0
STARLINK-11450 [DTC],2025-004H,2025-01-25T22:45:20.676672,15.84462060,.0001948,43.0060,10.0667,291.5849,68.4816,0,U,62518,999,306,.26974E-3,.6369E-3,0
STARLINK-11507 [DTC],2025-004J,2025-01-25T22:43:55.642656,15.84424802,.0001505,43.0057,10.0574,275.5848,84.4853,0,U,62519,999,306,.11214E-3,.2599E-3,0
STARLINK-11482 [DTC],2025-004K,2025-01-25T22:42:37.514592,15.84426492,.0001466,43.0055,10.0499,261.6206,98.4500,0,U,62520,999,306,.14524E-3,.33859E-3,0
STARLINK-11528 [DTC],2025-004L,2025-01-25T22:00:01.999584,15.80962600,.0001871,43.0047,9.9014,273.3759,48.3464,0,U,62521,999,398,-.4641E-2,-.844898E-2,0
STARLINK-11516 [DTC],2025-004M,2025-01-25T21:09:13.741056,15.84461740,.0001774,43.0058,10.4227,222.1263,137.9474,0,U,62522,999,305,.55609E-3,.132942E-2,0
STARLINK-11527 [DTC],2025-004N,2025-01-25T21:08:25.350144,15.84447943,.0002279,43.0062,10.4183,271.4603,88.6008,0,U,62523,999,305,.1643E-3,.38439E-3,0
STARLINK-32748,2025-004P,2025-01-25T22:00:01.999584,15.71025247,.0001292,43.0004,10.4909,277.7689,169.1449,0,U,62524,999,384,-.11811E-1,-.1358039E-1,0
STARLINK-32777,2025-004Q,2025-01-25T22:00:01.999584,15.71020087,.0001231,43.0004,10.4859,277.4323,171.4008,0,U,62525,999,400,-.11746E-1,-.1351096E-1,0
STARLINK-32741,2025-004R,2025-01-25T22:00:01.999584,15.71022145,.0001266,43.0004,10.4808,272.9136,177.8328,0,U,62526,999,399,-.11728E-1,-.1349376E-1,0
STARLINK-32754,2025-004S,2025-01-25T22:00:01.999584,15.71022363,.0001402,43.0004,10.4761,283.0973,169.5631,0,U,62527,999,399,-.11726E-1,-.1349252E-1,0
STARLINK-32786,2025-004T,2025-01-25T22:00:01.999584,15.71026118,.0001348,42.9996,10.4663,278.3351,178.1624,0,U,62528,999,185,-.1181E-1,-.1358012E-1,0
STARLINK-32789,2025-004U,2025-01-25T22:00:01.999584,15.71023221,.0001198,42.9997,10.4712,260.0293,194.5542,0,U,62529,999,400,-.11787E-1,-.1355434E-1,0
STARLINK-32791,2025-004V,2025-01-25T22:00:01.999584,15.71026095,.0001561,42.9998,10.4615,270.4231,187.9897,0,U,62530,999,400,-.11781E-1,-.1355157E-1,0
STARLINK-32785,2025-004W,2025-01-25T22:00:01.999584,15.71022328,.0001299,42.9999,10.4566,279.1659,181.1657,0,U,62531,999,400,-.11748E-1,-.135145E-1,0
STARLINK-11538 [DTC],2025-006A,2025-01-25T15:22:40.691136,15.77852555,.0001377,43.0015,84.2635,267.9306,92.1407,0,U,62554,999,237,.29823E-3,.51705E-3,0
STARLINK-11534 [DTC],2025-006B,2025-01-25T22:00:01.999584,15.77870303,.0001556,43.0011,82.5127,266.7223,250.4559,0,U,62555,999,350,-.15788E-3,-.279E-3,0
STARLINK-11515 [DTC],2025-006C,2025-01-25T22:00:01.999584,15.77873507,.0001458,43.0018,82.4435,270.1140,274.8153,0,U,62556,999,351,-.2104E-3,-.36981E-3,0
STARLINK-11478 [DTC],2025-006D,2025-01-25T22:00:01.999584,15.78391474,.0001442,43.0039,82.3794,266.1381,304.4998,0,U,62557,999,350,-.11229E-3,-.20471E-3,0
STARLINK-11358 [DTC],2025-006E,2025-01-25T22:00:01.999584,15.78229343,.0001873,43.0046,82.3052,271.0111,329.2254,0,U,62558,999,355,-.32284E-2,-.537342E-2,0
STARLINK-11517 [DTC],2025-006F,2025-01-25T14:46:49.648224,15.83752026,.0000566,43.0051,84.0608,340.2262,19.8589,0,U,62559,999,237,-.39298E-3,-.89437E-3,0
STARLINK-11519 [DTC],2025-006G,2025-01-25T22:00:01.999584,15.80645303,.0001789,43.0057,82.2501,271.8783,350.3713,0,U,62560,999,350,-.6143E-2,-.1091088E-1,0
STARLINK-11451 [DTC],2025-006H,2025-01-25T14:45:28.630944,15.85096542,.0001329,43.0054,84.0535,294.1314,65.9420,0,U,62561,999,237,.59437E-4,.13951E-3,0
STARLINK-11530 [DTC],2025-006J,2025-01-25T14:45:08.377920,15.85129912,.0001474,43.0056,84.0518,253.3991,106.6720,0,U,62562,999,237,.44091E-4,.10216E-3,0
STARLINK-11536 [DTC],2025-006K,2025-01-25T14:44:32.248032,15.85165541,.0001379,43.0057,84.0489,284.8715,75.2005,0,U,62563,999,237,.19589E-3,.4761E-3,0
STARLINK-11540 [DTC],2025-006L,2025-01-25T14:43:51.219264,15.85132570,.0001632,43.0056,84.0438,271.7526,88.3160,0,U,62564,999,237,.64862E-4,.15305E-3,0
STARLINK-11523 [DTC],2025-006M,2025-01-25T14:43:09.088896,15.85121143,.0002003,43.0058,84.0411,309.8096,50.2601,0,U,62565,999,237,.64036E-4,.15094E-3,0
STARLINK-11525 [DTC],2025-006N,2025-01-25T14:42:21.020256,15.85112989,.0001576,43.0052,84.0355,297.0184,63.0528,0,U,62566,999,237,-.25955E-4,-.6889E-4,0
STARLINK-32752,2025-006P,2025-01-25T22:00:01.999584,15.73827108,.0001421,43.0012,82.4768,277.2470,253.7987,0,U,62567,999,351,-.10735E-1,-.138883E-1,0
STARLINK-32760,2025-006Q,2025-01-25T22:00:01.999584,15.73828834,.0001501,43.0011,82.4721,274.4254,258.5406,0,U,62568,999,350,-.10793E-1,-.1395624E-1,0
STARLINK-32715,2025-006R,2025-01-25T22:00:01.999584,15.73828760,.0001273,43.0012,82.4673,272.6244,262.2597,0,U,62569,999,345,-.10792E-1,-.1395375E-1,0
STARLINK-32764,2025-006S,2025-01-25T22:00:01.999584,15.73828637,.0001503,43.0011,82.4623,265.1348,271.6654,0,U,62570,999,340,-.10787E-1,-.1394926E-1,0
STARLINK-32773,2025-006T,2025-01-25T22:00:01.999584,15.73824845,.000138,43.0011,82.4577,260.0379,278.6854,0,U,62571,999,350,-.1078E-1,-.1393849E-1,0
STARLINK-32750,2025-006U,2025-01-25T22:00:01.999584,15.73827185,.0001553,43.0012,82.4527,262.0153,278.6146,0,U,62572,999,350,-.10723E-1,-.1387532E-1,0
STARLINK-32771,2025-006V,2025-01-25T22:00:01.999584,15.73861652,.0001018,43.0011,82.4477,282.7599,259.7968,0,U,62573,999,350,-.11355E-1,-.1461209E-1,0
STARLINK-32766,2025-006W,2025-01-25T22:00:01.999584,15.73824708,.0001574,43.0011,82.4430,269.5062,274.9657,0,U,62574,999,355,-.10759E-1,-.1391543E-1,0
JIELONG-3 DEB,2025-007A,2025-01-25T12:17:52.679328,14.74047806,.0010625,54.9845,77.7752,297.9086,62.0837,0,U,62575,999,183,.67682E-3,.4286E-4,0
CENTISPACE-1 S7,2025-007B,2025-01-25T21:38:52.810368,14.77213952,.0018142,54.9795,76.0169,330.2517,29.7450,0,U,62576,999,188,.34751E-3,.2273E-4,0
CENTISPACE-1 S8,2025-007C,2025-01-25T21:39:38.938464,14.77040192,.0016261,54.9857,76.0268,333.5621,26.4548,0,U,62577,999,188,.34069E-3,.2214E-4,0
CENTISPACE-1 S9,2025-007D,2025-01-25T15:13:19.338240,14.76053481,.0014505,54.9816,77.1432,336.7998,23.2346,0,U,62578,999,184,.71235E-3,.4748E-4,0
CENTISPACE-1 S10,2025-007E,2025-01-25T21:50:10.592448,14.73813308,.0009562,54.9862,76.0672,326.4384,33.6008,0,U,62579,999,188,.53281E-3,.331E-4,0
CENTISPACE-1 S11,2025-007F,2025-01-25T15:13:19.842816,14.76361022,.0014408,54.9771,77.1385,328.1347,31.8780,0,U,62580,999,184,.72847E-3,.4896E-4,0
CENTISPACE-1 S12,2025-007G,2025-01-25T21:42:36.036864,14.76717013,.0015648,54.9777,76.0291,334.8745,25.1492,0,U,62581,999,189,.56234E-3,.3764E-4,0
CENTISPACE-1 S13,2025-007H,2025-01-25T21:43:18.775488,14.76450066,.0014854,54.9837,76.0383,330.2610,29.7544,0,U,62582,999,188,.55743E-3,.3704E-4,0
CENTISPACE-1 S14,2025-007J,2025-01-25T21:52:56.498592,14.73523296,.0009018,54.9818,76.0725,324.6366,35.4034,0,U,62583,999,188,.51917E-3,.3198E-4,0
CENTISPACE-1 S15,2025-007K,2025-01-25T21:49:32.732832,14.75195954,.0012271,54.9823,76.0602,324.3189,35.6989,0,U,62584,999,188,.66612E-3,.4334E-4,0
CENTISPACE-1 S16,2025-007L,2025-01-25T21:49:57.529632,14.75163703,.0012156,54.9822,76.0617,323.9145,36.1033,0,U,62585,999,188,.66011E-3,.4289E-4,0
JIELONG-3 R/B,2025-007M,2025-01-25T10:18:36.269280,15.55076967,.0280859,54.9411,71.7943,29.9605,331.7172,0,U,62586,999,190,.11192E-2,.532972E-2,.10093E-4
STARLINK-11547 [DTC],2025-008A,2025-01-25T22:00:01.999584,15.77855290,.0001556,43.0020,67.1105,273.6009,261.9311,0,U,62587,999,312,-.35569E-4,-.6683E-4,0
STARLINK-11185 [DTC],2025-008B,2025-01-25T22:00:01.999584,15.77863312,.000195,43.0051,67.0402,268.9685,294.3080,0,U,62588,999,306,-.53294E-4,-.9766E-4,0
STARLINK-11513 [DTC],2025-008C,2025-01-25T22:00:01.999584,15.79584348,.0001834,43.0067,66.9768,269.5197,319.2675,0,U,62589,999,312,-.65019E-2,-.1098604E-1,0
STARLINK-11397 [DTC],2025-008D,2025-01-25T13:23:44.093472,15.83119480,.0001797,43.0072,69.1347,288.8943,71.1734,0,U,62590,999,299,-.18745E-2,-.397876E-2,0
STARLINK-11420 [DTC],2025-008E,2025-01-25T13:22:42.650112,15.84450952,.000138,43.0071,69.1287,250.3023,109.7701,0,U,62591,999,306,-.38458E-4,-.9633E-4,0
STARLINK-11415 [DTC],2025-008F,2025-01-25T13:22:08.357952,15.84576377,.000102,43.0075,69.1255,265.8443,94.2314,0,U,62592,999,300,.58303E-3,.140294E-2,0
STARLINK-11413 [DTC],2025-008G,2025-01-25T13:21:28.232928,15.84486783,.0001344,43.0074,69.1214,274.2013,85.8706,0,U,62593,999,296,.26119E-3,.61709E-3,0
STARLINK-11416 [DTC],2025-008H,2025-01-25T22:00:01.999584,15.95786386,.0001129,43.0062,66.3676,281.8463,188.8150,0,U,62594,999,290,-.36715E-3,-.157511E-2,.1684E-4
STARLINK-11535 [DTC],2025-008J,2025-01-25T13:20:12.699456,15.84434426,.0001991,43.0073,69.1132,237.6201,122.4479,0,U,62595,999,291,.14788E-3,.34502E-3,0
STARLINK-11532 [DTC],2025-008K,2025-01-25T13:19:40.014336,15.84454414,.0001561,43.0067,69.1111,264.0013,96.0682,0,U,62596,999,283,.32183E-3,.76175E-3,0
